,host_name,neighbourhood_group,neighbourhood,latitude,longitude,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,ratings,beds,bathroom_type,property,room_type
0,Allen & Irina,Brooklyn,Williamsburg,40.70935,-73.95342,81,30,191,8/14/2023,1.08,1,142,4,4.58,1 bed,1 bath,Rental unit in Brooklyn,2 bedrooms
1,Cyn,Manhattan,East Harlem,40.78778,-73.94759,70,30,246,8/14/2023,1.43,1,93,4,4.88,1 bed,1 shared bath,Rental unit in New York,1 bedroom
2,Jane,Brooklyn,Fort Greene,40.69194,-73.97389,205,2,355,12/3/2023,2.1,2,276,38,4.88,2 beds,1 private bath,Home in Brooklyn,1 bedroom
4,Nathalie,Brooklyn,Bedford-Stuyvesant,40.68462,-73.93839,161,30,190,10/16/2023,1.09,2,365,25,4.77,4 beds,1 bath,Loft in Brooklyn,1 bedroom
5,Angela,Brooklyn,Bedford-Stuyvesant,40.68294,-73.95682,90,30,80,9/16/2023,0.48,5,297,2,4.65,2 beds,1 shared bath,Rental unit in Brooklyn,1 bedroom
6,Edward,Manhattan,East Village,40.72296,-73.98383,70,30,315,11/5/2023,1.83,2,54,25,4.39,1 bed,1 shared bath,Rental unit in New York,1 bedroom
7,Orestes,Queens,Long Island City,40.74757,-73.94571,165,30,385,11/12/2023,2.35,1,264,40,4.91,1 bed,1 private bath,Townhouse in Queens,1 bedroom
8,JT And Tiziana,Brooklyn,Bedford-Stuyvesant,40.68064,-73.94039,111,30,202,11/25/2023,1.23,4,143,23,4.65,1 bed,1 private bath,Townhouse in Brooklyn,1 bedroom
9,Jeanne,Brooklyn,Greenpoint,40.73535,-73.95584,115,30,177,9/1/2023,1.04,1,234,1,4.82,2 beds,1 bath,Rental unit in Brooklyn,1 bedroom
10,Adreinne,Brooklyn,Bedford-Stuyvesant,40.67946,-73.95417,120,30,75,5/1/2023,0.44,1,188,2,4.52,1 bed,1 bath,Rental unit in Brooklyn,1 bedroom
11,Cristina,Brooklyn,Williamsburg,40.71211,-73.96397,95,30,56,9/23/2023,0.34,1,183,6,4.87,1 bed,1 shared bath,Rental unit in Brooklyn,1 bedroom
12,Ted,Manhattan,Lower East Side,40.721359,-73.993668,160,30,37,9/30/2023,0.3,1,153,4,4.56,2 beds,1 bath,Condo in New York,1 bedroom
13,Patricia,Brooklyn,Clinton Hill,40.69121,-73.96804,60,30,31,5/31/2023,0.18,1,345,2,4.64,1 bed,1 shared bath,Rental unit in Brooklyn,1 bedroom
14,Casey,Manhattan,East Village,40.72281,-73.98501,199,30,188,9/4/2023,1.37,2,28,19,4.72,1 bed,1 shared bath,Rental unit in New York,1 bedroom
15,Robin,Manhattan,East Harlem,40.8019,-73.93762,300,30,291,9/5/2023,1.72,1,261,26,4.85,6 beds,2 baths,Loft in New York,4 bedrooms
16,Reka,Manhattan,East Village,40.72372723,-73.97625851,163,1,531,11/15/2023,4.24,2,158,45,4.79,1 bed,1 shared bath,Condo in New York,1 bedroom
17,Justin,Queens,Woodside,40.74884,-73.90536,65,30,30,7/2/2023,0.18,1,59,1,5,1 bed,1 shared bath,Condo in Queens,1 bedroom
18,DAVID And RICK,Manhattan,Chelsea,40.74261,-74.00353,133,30,246,10/22/2023,1.59,1,347,14,4.95,1 bed,1.5 baths,Loft in New York,1 bedroom
19,Annette,Brooklyn,Carroll Gardens,40.67747,-74.00146,200,30,317,10/7/2023,1.92,4,365,26,4.71,1 bed,1 private bath,Rental unit in Brooklyn,1 bedroom
20,Ann,Manhattan,West Village,40.72961,-74.00308,700,30,58,1/4/2023,0.42,2,178,3,4.41,3 beds,2 baths,Home in New York,3 bedrooms
21,Brandon,Brooklyn,Park Slope,40.67115,-73.98026,220,30,90,6/18/2023,0.55,1,319,1,4.83,6 beds,3 baths,Rental unit in Brooklyn,4 bedrooms
22,Angela,Brooklyn,Bedford-Stuyvesant,40.68288,-73.95646,90,30,73,10/27/2023,0.45,5,342,4,4.71,1 bed,1 shared bath,Rental unit in Brooklyn,1 bedroom
23,Christopher,Brooklyn,Clinton Hill,40.68292,-73.96381,99,3,388,12/1/2023,2.36,1,1,48,4.94,1 bed,1 shared bath,Condo in Brooklyn,1 bedroom
24,Uli,Manhattan,Lower East Side,40.72314,-73.99108,185,30,118,2/25/2023,0.72,1,349,1,4.76,1 bed,1 bath,Rental unit in New York,1 bedroom
25,Lara Nicole,Manhattan,Hell's Kitchen,40.7672,-73.98464,175,30,74,11/6/2023,0.45,3,331,9,4.89,1 bed,1 bath,Condo in New York,1 bedroom
26,Waldemar,Brooklyn,Clinton Hill,40.68818,-73.96383,110,2,558,10/21/2023,3.42,2,303,31,4.52,1 bed,1 private bath,Rental unit in Brooklyn,1 bedroom
27,Ming,Brooklyn,Williamsburg,40.71512,-73.95899,195,30,295,11/2/2023,1.81,1,151,6,4.96,1 bed,1 bath,Rental unit in Brooklyn,1 bedroom
28,Sarah,Brooklyn,Boerum Hill,40.68442,-73.98068,900,30,43,8/30/2023,0.31,1,294,4,4.7,5 beds,2.5 baths,Home in Brooklyn,5 bedrooms
29,Matthew,Manhattan,Harlem,40.8180576,-73.9466707,248,3,187,11/16/2023,1.16,1,92,34,4.84,1 bed,1 bath,Rental unit in New York,1 bedroom
30,Myung,Queens,Sunnyside,40.74523,-73.92318,78,30,32,9/1/2023,0.2,1,183,4,4.93,1 bed,1 bath,Rental unit in Long Island City,1 bedroom
31,Gus,Brooklyn,Williamsburg,40.7106514,-73.95087433,154,30,260,10/19/2023,1.6,2,80,11,4.82,1 bed,1 shared bath,Rental unit in Brooklyn,1 bedroom
32,Koray,Manhattan,Lower East Side,40.71992,-73.99167,750,30,69,6/5/2023,0.43,1,318,1,4.8,2 beds,2 baths,Loft in New York,2 bedrooms
33,Annette,Brooklyn,Carroll Gardens,40.67813,-74.00062,200,30,220,11/2/2023,1.37,4,364,25,4.66,1 bed,1 private bath,Townhouse in Brooklyn,1 bedroom
34,Nicholas,Staten Island,St. George,40.64633,-74.08156,70,30,188,11/7/2023,1.22,1,273,6,4.81,1 bed,1 shared bath,Rental unit in Staten Island,1 bedroom
36,Dana,Manhattan,West Village,40.73948,-74.00504,71,30,29,8/26/2023,0.18,1,62,4,4.42,1 bed,1 bath,Rental unit in New York,1 bedroom
37,Rahul,Manhattan,Morningside Heights,40.8063,-73.95985,98,31,133,5/31/2023,0.85,2,195,3,4.66,1 bed,1 shared bath,Bed and breakfast in New York,1 bedroom
38,Angela,Brooklyn,Bedford-Stuyvesant,40.6829,-73.95701,95,30,25,1/29/2023,0.16,5,243,1,4.42,2 beds,2 baths,Home in Brooklyn,1 bedroom
39,Litza,Queens,Ditmars Steinway,40.77868,-73.90652,180,30,76,11/21/2023,0.48,1,59,28,4.97,2 beds,1 private bath,Guest suite in Astoria,2 bedrooms
40,Kathleen R.,Brooklyn,Park Slope,40.67908,-73.97405,95,30,173,11/7/2023,1.08,3,307,23,4.75,1 bed,1.5 shared baths,Guest suite in Brooklyn,1 bedroom
41,Wayne,Manhattan,Harlem,40.81182,-73.94631,190,30,142,9/30/2023,0.9,4,362,22,4.65,4 beds,1 bath,Rental unit in New York,1 bedroom
42,Gus,Brooklyn,Williamsburg,40.71065,-73.95087,154,30,102,12/1/2023,0.81,2,62,6,4.83,1 bed,1 shared bath,Rental unit in Brooklyn,1 bedroom
43,Wayne,Manhattan,Harlem,40.81201,-73.94452,96,30,272,9/16/2023,1.72,4,90,22,4.67,1 bed,1 shared bath,Rental unit in New York,1 bedroom
44,Vasili,Queens,Ditmars Steinway,40.772472,-73.906075,89,30,159,11/7/2023,1.0,1,362,42,4.87,2 beds,1 bath,Rental unit in Astoria,1 bedroom
45,S.M.,Brooklyn,Brooklyn Heights,40.69003,-73.99338,399,30,295,11/8/2023,1.86,1,180,18,4.68,1 bed,1 bath,Rental unit in Brooklyn,1 bedroom
46,Simon,Manhattan,East Harlem,40.80747,-73.94076,119,30,386,11/6/2023,2.43,2,198,36,4.88,1 bed,1 bath,Rental unit in New York,1 bedroom
47,Agnes,Manhattan,Harlem,40.8238,-73.94444,52,30,679,9/1/2023,4.42,2,187,44,4.71,1 bed,1.5 baths,Rental unit in New York,1 bedroom
48,Drica,Manhattan,Lower East Side,40.71946,-73.98641,250,30,60,6/27/2023,0.38,1,365,1,4.67,1 bed,1 bath,Rental unit in New York,1 bedroom
49,Mark,Queens,Ridgewood,40.70271,-73.8993,262,30,4,2/10/2023,0.03,9,365,1,4.75,6 beds,1 bath,Rental unit in Queens,3 bedrooms
50,Ricardo & Ashlie,Manhattan,Chinatown,40.7178,-73.9932,325,30,79,10/21/2023,0.52,2,52,20,4.75,2 beds,1 bath,Rental unit in New York,2 bedrooms
51,Sue,Manhattan,East Village,40.7253,-73.98028,160,31,37,9/3/2023,0.24,1,30,1,4.81,1 bed,1 bath,Rental unit in New York,1 bedroom
52,Blanca,Manhattan,East Harlem,40.79266739,-73.9465332,120,30,196,10/12/2023,1.28,4,225,3,4.84,1 bed,1 bath,Rental unit in New York,1 bedroom
53,Vie,Bronx,Eastchester,40.881,-73.83511,114,30,57,10/1/2023,0.44,6,358,2,4.93,1 bed,1 bath,Rental unit in Bronx,1 bedroom
54,Maya,Brooklyn,Greenpoint,40.72967,-73.95352,335,30,172,11/14/2023,1.11,2,180,17,4.81,2 beds,2 baths,Home in Brooklyn,2 bedrooms
55,Anthony,Brooklyn,Crown Heights,40.67579,-73.95072,65,30,253,6/3/2023,1.65,2,354,2,4.79,1 bed,1 bath,Home in Brooklyn,1 bedroom
56,Tony,Manhattan,Nolita,40.72021,-73.99426,499,30,17,6/3/2023,0.11,3,365,4,4.94,2 beds,1 bath,Rental unit in New York,2 bedrooms
57,Larissa,Brooklyn,Williamsburg,40.70797,-73.94792,118,30,165,6/17/2023,1.05,2,66,4,4.52,1 bed,1 bath,Rental unit in Brooklyn,1 bedroom
58,Tony,Manhattan,Nolita,40.72036,-73.99435,199,30,211,6/21/2023,1.39,3,365,14,4.86,3 beds,1 bath,Rental unit in New York,2 bedrooms
59,Jana,Brooklyn,Gowanus,40.68088,-73.99102,220,30,241,11/20/2023,1.72,2,225,31,4.98,1 bed,1 bath,Rental unit in Brooklyn,1 bedroom
